term,coef,se,p,ci_low,ci_high
Intercept,0.43925233644859824,0.02367158352698875,7.279803209693269e-77,0.3928568852786687,0.4856477876185278
BEN,0.016392106783978695,0.03669472170153821,0.6550803742339526,-0.05552822617375652,0.0883124397417139
RISK,0.08153191952779312,0.03432997200073617,0.017551393279554482,0.014246410816081773,0.14881742823950447
TR,-0.009131996329570563,0.039975527642620405,0.8193044526836923,-0.08748259077209193,0.0692185981129508
PE,0.016371129561853333,0.03935872372917274,0.6774490372177087,-0.060770551424787246,0.09351281054849392
SI,0.023610349513080203,0.032631030946851595,0.46933890285820457,-0.04034529592116086,0.08756599494732127
FL,-0.010430358614372748,0.026826277049726937,0.6974157697620309,-0.06300889547113096,0.04214817824238547
IQ,0.050438939663174434,0.039599997142560996,0.2027659666925904,-0.027175628524134174,0.12805350785048303
OBU,0.08351685466649725,0.032290117407373566,0.009696953676900861,0.020229387491475195,0.14680432184151931
AA,-0.00549410642916796,0.03461358791207495,0.8738840682533786,-0.07333549211254584,0.06234727925420991
SR,-0.06660579765659552,0.03179611553629984,0.03619074748730702,-0.12892503895601767,-0.004286556357173378
