path,coef,stdev,t,p,ci_low,ci_high
AA -> RISK,0.11658094354935866,0.04072008475099259,2.862983814062835,0.004214166954454868,0.039006535870514725,0.1991885554479581
BEN -> OBU,-0.004420449279989112,0.037833445111570496,0.11683972387270695,0.9069917544873647,-0.0790648647078607,0.07125332230150427
BEN -> WU,0.6504306659907797,0.033889591149411216,19.192638327301864,5.684341886080802e-14,0.5825645220656609,0.7159144931064452
FL -> BEN,0.032169035688869016,0.04151692530728233,0.7748414761154379,0.43846996253381576,-0.04210671034956032,0.11905782421174076
FL -> TR,0.24287502206778633,0.04950019032239609,4.9065472372113055,9.56455380674015e-07,0.15944422308922132,0.3531076965365178
IQ -> RISK,-0.14769744275331506,0.04736414280257665,3.118338768822397,0.0018290657745296812,-0.23302645867437363,-0.07027969801641265
PE -> BEN,0.34905161656397166,0.05597424441909276,6.235932618411737,4.864091351919342e-10,0.2405896040413395,0.4579723550853291
RISK -> OBU,0.6099592376306725,0.03784665214291095,16.11659692718485,5.684341886080802e-14,0.5351659774715473,0.6824036286713066
RISK -> WU,-0.09632259336118768,0.036085123718706535,2.669315868557048,0.007625144269979955,-0.16492443347296717,-0.02279516836342008
SI -> BEN,0.022545147599254228,0.050332995831066124,0.44791984317649325,0.654230446868894,-0.07499813373988871,0.12211788446440038
SR -> RISK,0.6054470693212971,0.03612929410564114,16.757788501236288,5.684341886080802e-14,0.5319144967589662,0.6726627345222529
TR -> BEN,0.4075869742226359,0.05822902386253784,6.999721911616324,2.8990143619012088e-12,0.29409943877433403,0.5190834953099857
