feature,importance,sd
Reliance on financial professionals,0.1885321368925025,0.0
Internet-security concern,0.14247949946502694,0.0
Social-media personality use,0.08668072667640632,0.0
Risk tolerance,0.08222564257743015,0.0
Reliance on app popularity cues,0.08148770399563061,0.0
Age,0.07748384802866475,0.0
Fraud concern,0.07741693691978081,0.0
Reliance on brokerage/advisory tools,0.07091131367473706,0.0
Reliance on social media groups,0.05832571546359967,0.0
Objective literacy,0.0531255876488601,0.0
Self-rated investing knowledge,0.04716907907138399,0.0
Gender,0.017835297531742622,0.0
Market fairness belief,0.010253231130912126,0.0
Income,0.004183910211542926,0.0
Education,0.0018893707115980084,0.0
